phase,epoch,train_mse_kW2,val_mse_kW2,val_rmse_W,val_mae_W,val_r2,lr,Cd0,Crr0,m0,Paux0,eta0,eta_reg0,elapsed_s,eta_min,eta_max,eta_p05,eta_p95,er_min,er_max,er_p05,er_p95,paux_min,paux_max,paux_p05,paux_p95,test_mse_kW2,test_rmse_W,test_mae_W,test_r2
warmup,1.0,44.65551541068337,36.16625213623047,6013.838374948233,3632.000244140625,0.8215155005455017,0.0003,0.2799761891365051,0.006497691385447979,2764.7119140625,549.398193359375,0.7504491209983826,0.5009517073631287,0.624427318572998,,,,,,,,,,,,,,,,
warmup,2.0,44.286020799116656,36.111114501953125,6009.2521997333415,3629.331298828125,0.8217875957489014,0.0003,0.2799507975578308,0.006495163310319185,2764.410888671875,548.765869140625,0.750906765460968,0.5018943548202515,0.6765990257263184,,,,,,,,,,,,,,,,
warmup,3.0,44.35181322964755,36.05646514892578,6004.703156693094,3626.685302734375,0.8220573663711548,0.0003,0.2799268364906311,0.006492787506431341,2764.114501953125,548.1531982421875,0.7513604760169983,0.5028368234634399,0.7280750274658203,,,,,,,,,,,,,,,,
warmup,4.0,44.171512603759766,36.00065231323242,6000.053666426659,3623.99755859375,0.8223327994346619,0.0003,0.2798999547958374,0.006490189582109451,2763.824951171875,547.524169921875,0.7518187761306763,0.5038068294525146,0.776547908782959,,,,,,,,,,,,,,,,
warmup,5.0,43.92617069591176,35.94753646850586,5995.62640597294,3621.461669921875,0.8225948810577393,0.0003,0.27987587451934814,0.006487907841801643,2763.556396484375,546.9473266601562,0.7522505521774292,0.5047400593757629,0.8299682140350342,,,,,,,,,,,,,,,,
warmup,6.0,43.96675057844682,35.89360046386719,5991.126438325267,3618.86767578125,0.8228610754013062,0.0003,0.27985072135925293,0.006485420279204845,2763.257568359375,546.328125,0.7527060508728027,0.5056856870651245,0.8819396495819092,,,,,,,,,,,,,,,,
warmup,7.0,44.080651543357156,35.84135818481445,5986.76506971837,3616.3681640625,0.8231189250946045,0.0003,0.27982792258262634,0.006483272649347782,2762.994140625,545.7903442382812,0.7531311511993408,0.506617546081543,0.9301502704620361,,,,,,,,,,,,,,,,
warmup,8.0,43.666122609918766,35.78894805908203,5982.386480327061,3613.8603515625,0.8233775496482849,0.0003,0.2798052728176117,0.006481051445007324,2762.68603515625,545.224365234375,0.7535872459411621,0.507546067237854,0.9783785343170166,,,,,,,,,,,,,,,,
warmup,9.0,43.851145484230734,35.73662185668945,5978.011709590405,3611.357177734375,0.8236357569694519,0.0003,0.2797795832157135,0.006478526163846254,2762.3896484375,544.6123657226562,0.7540391683578491,0.5084778070449829,1.1299512386322021,,,,,,,,,,,,,,,,
warmup,10.0,43.83288140730424,35.684715270996094,5973.667884976532,3608.854736328125,0.8238919973373413,0.0003,0.279757022857666,0.006476358976215124,2762.101806640625,544.0908203125,0.7544838786125183,0.5094140768051147,1.1810486316680908,,,,,,,,,,,,,,,,
warmup,11.0,43.67090745405717,35.63391876220703,5969.415381760596,3606.41064453125,0.8241426348686218,0.0003,0.2797335386276245,0.0064741685055196285,2761.834716796875,543.5888061523438,0.7549130320549011,0.5103380084037781,1.2338182926177979,,,,,,,,,,,,,,,,
warmup,12.0,43.988488630814985,35.584022521972656,5965.23394344262,3604.01318359375,0.8243889212608337,0.0003,0.2797107398509979,0.00647216010838747,2761.585205078125,543.1202392578125,0.7553284764289856,0.5112550258636475,1.288804292678833,,,,,,,,,,,,,,,,
warmup,13.0,43.94280953840776,35.53379440307617,5961.022731042049,3601.58251953125,0.8246367573738098,0.0003,0.27968931198120117,0.006470137275755405,2761.31103515625,542.6209716796875,0.7557616829872131,0.5121786594390869,1.339322805404663,,,,,,,,,,,,,,,,
warmup,14.0,43.59075164794922,35.4829216003418,5956.754485455986,3599.153564453125,0.8248878121376038,0.0003,0.2796647250652313,0.006467852275818586,2761.04296875,542.1113891601562,0.7561978101730347,0.513119101524353,1.3927674293518066,,,,,,,,,,,,,,,,
warmup,15.0,43.57861189408736,35.43352127075195,5952.60615193043,3596.795166015625,0.8251316547393799,0.0003,0.2796435058116913,0.006465822458267212,2760.7744140625,541.606689453125,0.7566268444061279,0.5140382051467896,1.4469220638275146,,,,,,,,,,,,,,,,
warmup,16.0,43.39026641845703,35.384681701660156,5948.5023325203465,3594.4521484375,0.8253726363182068,0.0003,0.2796218991279602,0.0064638233743608,2760.507568359375,541.1505126953125,0.7570541501045227,0.5149522423744202,1.4986157417297363,,,,,,,,,,,,,,,,
warmup,17.0,43.394267862493344,35.33651351928711,5944.451530629213,3592.158447265625,0.8256103992462158,0.0003,0.2796003818511963,0.006461948622018099,2760.269287109375,540.747802734375,0.7574613094329834,0.5158653259277344,1.5568349361419678,,,,,,,,,,,,,,,,
warmup,18.0,43.545242136174984,35.287879943847656,5940.359921755583,3589.841064453125,0.8258503675460815,0.0003,0.279577374458313,0.006459906697273254,2760.018798828125,540.3087768554688,0.7578818202018738,0.516788125038147,1.6058549880981445,,,,,,,,,,,,,,,,
warmup,19.0,43.3352463462136,35.241302490234375,5936.437989232263,3587.6064453125,0.8260802626609802,0.0003,0.2795545756816864,0.006457953713834286,2759.76953125,539.887451171875,0.7582933902740479,0.5176746845245361,1.6537635326385498,,,,,,,,,,,,,,,,
warmup,20.0,43.21305344321511,35.193328857421875,5932.396143212285,3585.302490234375,0.8263170123100281,0.0003,0.2795310914516449,0.00645575812086463,2759.519775390625,539.4132690429688,0.7587146759033203,0.5185926556587219,1.707970142364502,,,,,,,,,,,,,,,,
warmup,21.0,42.9960164156827,35.14625549316406,5928.427784834695,3583.041259765625,0.8265492916107178,0.0003,0.2795112133026123,0.006453947629779577,2759.298828125,539.0120849609375,0.7591127157211304,0.5195067524909973,1.7571470737457275,,,,,,,,,,,,,,,,
warmup,22.0,42.984695954756305,35.10224151611328,5924.714001536277,3580.89013671875,0.8267665505409241,0.0003,0.27948808670043945,0.006452033296227455,2759.04638671875,538.677001953125,0.7595211863517761,0.5203543901443481,1.8059885501861572,,,,,,,,,,,,,,,,
warmup,23.0,43.22532775185325,35.0553092956543,5920.752317062419,3578.66064453125,0.8269981145858765,0.0003,0.2794693112373352,0.006450388580560684,2758.833251953125,538.295654296875,0.7599166035652161,0.5212782025337219,1.8593685626983643,,,,,,,,,,,,,,,,
warmup,24.0,43.11510744961825,35.010589599609375,5916.974226747992,3576.50732421875,0.8272188901901245,0.0003,0.2794482409954071,0.006448614876717329,2758.60400390625,537.9759521484375,0.7603157162666321,0.5221560001373291,1.9164855480194092,,,,,,,,,,,,,,,,
warmup,25.0,43.171367992054336,34.963600158691406,5913.002621342223,3574.2626953125,0.8274507522583008,0.0003,0.27942410111427307,0.0064463247545063496,2758.3720703125,537.480224609375,0.7607316970825195,0.5230802297592163,1.9697306156158447,,,,,,,,,,,,,,,,
warmup,26.0,42.96357926455411,34.9183349609375,5909.173884732112,3572.07763671875,0.8276740908622742,0.0003,0.2794051468372345,0.00644474383443594,2758.156982421875,537.1611938476562,0.7611261010169983,0.5239836573600769,2.0262439250946045,,,,,,,,,,,,,,,,
warmup,27.0,42.8940899588845,34.874759674072266,5905.485585453579,3569.969482421875,0.8278891444206238,0.0003,0.27938345074653625,0.006442970596253872,2757.951171875,536.87841796875,0.7615101337432861,0.5248551964759827,2.080080032348633,,,,,,,,,,,,,,,,
warmup,28.0,42.90954511815851,34.831817626953125,5901.848185102697,3567.909912109375,0.8281010985374451,0.0003,0.2793672978878021,0.0064417170360684395,2757.766357421875,536.6385498046875,0.761874794960022,0.5257264971733093,2.129127025604248,,,,,,,,,,,,,,,,
warmup,29.0,42.9602463462136,34.78824234008789,5898.154965749883,3565.790771484375,0.8283162117004395,0.0003,0.27934303879737854,0.006439742632210255,2757.539306640625,536.3053588867188,0.7622793912887573,0.5266005992889404,2.1787381172180176,,,,,,,,,,,,,,,,
warmup,30.0,42.597207676280625,34.7454948425293,5894.531024602381,3563.725830078125,0.8285270929336548,0.0003,0.2793252766132355,0.006438279990106821,2757.342529296875,536.0382690429688,0.7626559734344482,0.5274721384048462,2.2346346378326416,,,,,,,,,,,,,,,,
warmup,31.0,42.48038014498624,34.70214080810547,5890.851890855854,3561.640625,0.8287410736083984,0.0003,0.27930447459220886,0.006436692550778389,2757.151123046875,535.799072265625,0.7630370855331421,0.52836012840271,2.2882027626037598,,,,,,,,,,,,,,,,
warmup,32.0,42.736787969415836,34.65900421142578,5887.190161698533,3559.574462890625,0.8289539217948914,0.0003,0.2792850136756897,0.00643506646156311,2756.95068359375,535.5069580078125,0.7634235620498657,0.5292465090751648,2.3375954627990723,,,,,,,,,,,,,,,,
warmup,33.0,42.64455379139293,34.61586380004883,5883.524453930654,3557.52294921875,0.8291668891906738,0.0003,0.27926456928253174,0.006433422677218914,2756.785888671875,535.2601928710938,0.7637895941734314,0.5301420092582703,2.3881523609161377,,,,,,,,,,,,,,,,
warmup,34.0,42.551720359108664,34.57684326171875,5880.207479332681,3555.603271484375,0.8293594121932983,0.0003,0.27924567461013794,0.0064319102093577385,2756.5439453125,535.0543823242188,0.7641845345497131,0.5309436917304993,2.435582160949707,,,,,,,,,,,,,,,,
warmup,35.0,42.37322070381858,34.53444290161133,5876.601058435054,3553.600341796875,0.8295686841011047,0.0003,0.2792280316352844,0.00643064035102725,2756.3974609375,534.8516845703125,0.7645363807678223,0.5318369269371033,2.4835264682769775,,,,,,,,,,,,,,,,
warmup,36.0,42.50572534040971,34.493587493896484,5873.124211184368,3551.65234375,0.8297703266143799,0.0003,0.2792116105556488,0.006429463624954224,2756.2353515625,534.6959228515625,0.7648912072181702,0.5326995253562927,2.5366508960723877,,,,,,,,,,,,,,,,
warmup,37.0,42.405409812927246,34.45231628417969,5869.609186308744,3549.68896484375,0.8299739956855774,0.0003,0.2791900634765625,0.006427880376577377,2756.071533203125,534.4755859375,0.7652562856674194,0.5335701704025269,2.5879504680633545,,,,,,,,,,,,,,,,
warmup,38.0,42.379189404574305,34.41175842285156,5866.153083580414,3547.75830078125,0.8301741480827332,0.0003,0.2791725993156433,0.006426596082746983,2755.903564453125,534.31884765625,0.7656185626983643,0.5344324111938477,2.6363556385040283,,,,,,,,,,,,,,,,
