Time,Accuracy,Speed,BatteryPower,Acceleration
215.5,0.051,0,1094.426,0
215.6,0.049,0,1099.053,0
215.7,0.047,0,1096.092,0
215.8,0.047,0,1082.914,0
215.9,0.048,0,1087.657,0
216,0.048,0,1093.161,0
216.1,0.047,0,1099.917,0
216.2,0.046,0,1099.942,0
216.3,0.045,0,1092.112,0
216.4,0.044,0,1089.547,0
216.5,0.043,0,1083.456,0
216.6,0.041,0,1084.09,0
216.7,0.041,0,1099.251,0
216.8,0.04,0,1098.154,0
216.9,0.049,0,1093.699,0
217,0.057,0,1092.917,0
217.1,0.055,0,1092.926,0
217.2,0.054,0,1096.843,0
217.3,0.052,0,1093.004,0
217.4,0.05,0,1090.58,0
217.5,0.049,0,1093.363,0
217.6,0.048,0,1097.672,0
217.7,0.047,0,1094.365,0
217.8,0.045,0,1093.152,0
217.9,0.044,0,1097.69,0
218,0.043,0,1091.389,0
218.1,0.042,0,1089.462,0
218.2,0.044,0,1094.925,0
218.3,0.049,0,1098.655,0
218.4,0.051,0,1091.347,0
218.5,0.049,0,1082.741,0
218.6,0.048,0,1088.483,0
218.7,0.054,0,1105.885,0
218.8,0.057,0,1115.484,0
218.9,0.056,0,1103.951,0
219,0.054,0,1087.773,0
219.1,0.052,0,1097.759,0
219.2,0.05,0,1096.124,0
219.3,0.047,0,1093.043,0
219.4,0.046,0,1099.203,0
219.5,0.045,0,1103.94,0
219.6,0.044,0,1100.648,0
219.7,0.044,0,1099.851,0
219.8,0.042,0,1097.674,0
219.9,0.041,0,1091.292,0
220,0.04,0,1100.621,0
220.1,0.04,0,1107.474,0
220.2,0.04,0,1096.197,0
220.3,0.039,0,1091.216,0
220.4,0.047,0,1096.195,0
220.5,0.062,0,1092.004,0
220.6,0.061,0,1092.441,0
220.7,0.059,0,1094.366,0
220.8,0.056,0,1103.169,0
220.9,0.054,0,1108.688,0
221,0.052,0,1100.628,0
221.1,0.051,0,1100.904,0
221.2,0.049,0,1107.723,0
221.3,0.048,0,1097.091,0
221.4,0.046,0,1087.733,0
221.5,0.045,0,1094.283,0
221.6,0.044,0,1107.789,0
221.7,0.042,0,1105.755,0
221.8,0.042,0,1092.624,0
221.9,0.044,0,1088.53,0
222,0.045,0,1089.359,0
222.1,0.044,0,1093.067,0
222.2,0.043,0,1098.867,0
222.3,0.042,0,1102.134,0
222.4,0.043,0,1101.192,0
222.5,0.044,0,1100.939,0
222.6,0.048,0,1094.331,0
222.7,0.05,0,1092.294,0
222.8,0.049,0,1097.632,0
222.9,0.047,0,1099.178,0
223,0.045,0,1097.5,0
223.1,0.044,0,1092.627,0
223.2,0.043,0,1099.202,0
223.3,0.042,0,1100.612,0
223.4,0.04,0,1102.314,0
223.5,0.04,0,1099.986,0
223.6,0.04,0,1090.968,0
223.7,0.04,0,1092.329,0
223.8,0.061,0,1091.949,0
223.9,0.069,0,1098.614,0
224,0.066,0,1098.902,0
224.1,0.07,0,1086.031,0
224.2,0.071,0,1093.72,0
224.3,0.069,0,1102.536,0
224.4,0.066,0,1097.224,0
224.5,0.064,0,1098.351,0
224.6,0.061,0,1098.961,0
224.7,0.059,0,1100.961,0
224.8,0.056,0,1102.544,0
224.9,0.055,0,1091.039,0
225,0.053,0,1097.736,0
225.1,0.052,0,1107.657,0
225.2,0.05,0,1102.476,0
225.3,0.048,0,1099.178,0
225.4,0.047,0,1093.682,0
225.5,0.046,0,1097.626,0
225.6,0.049,0,1095.928,0
225.7,0.051,0,1086.06,0
225.8,0.049,0,1095.374,0
225.9,0.048,0,1102.433,0
226,0.046,0,1097.162,0
226.1,0.047,0,1088.598,0
226.2,0.047,0,1085.8,0
226.3,0.046,0,1089.399,0
226.4,0.044,0,1100.629,0
226.5,0.043,0,1103.366,0
226.6,0.042,0,1104.498,0
226.7,0.044,0,1102.142,0
226.8,0.05,0,1092.718,0
226.9,0.052,0,1097.281,0
227,0.05,0,1102.054,0
227.1,0.049,0,1096.001,0
227.2,0.048,0,1099.853,0
227.3,0.046,0,1105.849,0
227.4,0.045,0,1100.683,0
227.5,0.046,0,1093.802,0
227.6,0.047,0,1100.067,0
227.7,0.046,0,1105.824,0
227.8,0.046,0,1104.21,0
227.9,0.049,0,1103.699,0
228,0.051,0,1084.596,0
228.1,0.051,0,1087.663,0
228.2,0.05,0,1100.893,0
228.3,0.05,0,1097.597,0
228.4,0.049,0,1096.521,0
228.5,0.048,0,1098.602,0
228.6,0.046,0,1096.705,0
228.7,0.045,0,1100.877,0
228.8,0.044,0,1093.729,0
228.9,0.043,0,1088.512,0
229,0.042,0,1097.565,0
229.1,0.04,0,1097.172,0
229.2,0.039,0,1095.93,0
229.3,0.039,0,1094.287,0
229.4,0.041,0,1367.974,0
229.5,0.041,0,1521.513,0
229.6,0.04,0.009,1368.814,0.09
229.7,0.04,0.009,1289.915,0
229.8,0.04,0,1289.174,-0.09
229.9,0.041,-0.005,1270.293,-0.05
230,0.042,-0.007,1264.269,-0.02
230.1,0.05,-0.003,1263.997,0.04
230.2,0.06,0,1247.824,0.03
230.3,0.056,0,1225.389,0
230.4,0.055,0,1222.269,0
230.5,0.052,0,1167.659,0
230.6,0.051,0,1128.822,0
230.7,0.049,0,1127.596,0
230.8,0.048,0,1122.226,0
230.9,0.047,0,1102.338,0
231,0.045,0,1085.526,0
231.1,0.044,0,1497.963,0
231.2,0.043,0,1592.283,0
231.3,0.042,0,1293.657,0
231.4,0.043,0,1306.6,0
231.5,0.052,0.002,1299.543,0.02
231.6,0.055,0.002,1300.158,0
231.7,0.053,0,1307.391,-0.02
231.8,0.052,0,1299.812,0
231.9,0.052,0,1310.944,0
232,0.051,0,1308.058,0
232.1,0.05,0,1298.564,0
232.2,0.048,0,1296.536,0
232.3,0.046,0,1296.515,0
232.4,0.044,0,1301.068,0
232.5,0.043,0,1288.439,0
232.6,0.042,-0.008,1341.502,-0.08
232.7,0.041,-0.01,1300.931,-0.02
232.8,0.04,-0.002,1235.751,0.08
232.9,0.04,0,1240.137,0.02
233,0.04,0,1222.569,0
233.1,0.039,0,1224.213,0
233.2,0.038,0,1221.483,0
233.3,0.039,0,1211.253,0
233.4,0.045,0,1215.548,0
233.5,0.053,0,1224.518,0
233.6,0.061,0,1217.523,0
233.7,0.062,0,1180.647,0
233.8,0.06,0,1145.307,0
233.9,0.058,0,1144.147,0
234,0.055,0,1120.968,0
234.1,0.053,0,1092.647,0
234.2,0.051,0,1092.005,0
234.3,0.05,0,1103.931,0
234.4,0.048,0,1107.553,0
234.5,0.047,0,1107.446,0
234.6,0.046,0,1109.302,0
234.7,0.045,0,1105.855,0
234.8,0.046,0,1104.17,0
234.9,0.045,0,1094.325,0
235,0.044,0,1088.562,0
235.1,0.043,0,1104.154,0
235.2,0.042,0,1105.851,0
235.3,0.049,0,1105.889,0
235.4,0.06,0,1109.153,0
235.5,0.064,0,1107.859,0
235.6,0.08,0,1110.053,0
235.7,0.078,0,1105.717,0
235.8,0.075,0,1107.717,0
235.9,0.072,0,1103.275,0
236,0.069,0,1097.533,0
236.1,0.065,0,1098.892,0
236.2,0.063,0,1107.474,0
236.3,0.061,0,1111.266,0
236.4,0.059,0,1102.325,0
236.5,0.058,0,1098.872,0
236.6,0.055,0,1099.162,0
236.7,0.054,0,1100.853,0
236.8,0.052,0,1104.176,0
236.9,0.05,0,1100.897,0
237,0.049,0,1109.319,0
237.1,0.047,0,1109.048,0
237.2,0.046,0,1103.826,0
237.3,0.047,0,1100.858,0
237.4,0.058,0,1098.836,0
237.5,0.064,0,1109.063,0
237.6,0.062,0,1109.07,0
237.7,0.059,0,1101.053,0
237.8,0.057,0,1105.761,0
237.9,0.055,0,1107.351,0
238,0.053,0,1100.914,0
238.1,0.051,0,1099.274,0
238.2,0.05,0,1098.88,0
238.3,0.048,0,1094.869,0
238.4,0.047,0,1090.456,0
238.5,0.045,0,1094.303,0
238.6,0.044,0,1109.255,0
238.7,0.043,0,1114.462,0
238.8,0.042,0,1107.453,0
238.9,0.042,0,1105.871,0
239,0.041,0,1101.744,0
239.1,0.042,0,1100.837,0
239.2,0.047,0,1099.334,0
239.3,0.052,0,1101.55,0
239.4,0.053,0,1098.927,0
239.5,0.052,0,1097.176,0
239.6,0.049,0,1104.602,0
239.7,0.047,0,1105.803,0
239.8,0.046,0,1103.9,0
239.9,0.044,0,1096.312,0
240,0.043,0,1095.934,0
240.1,0.042,0,1104.135,0
240.2,0.045,0,1093.712,0
240.3,0.047,0,1089.337,0
240.4,0.046,0,1100.789,0
240.5,0.045,0,1105.802,0
240.6,0.043,0,1110.758,0
240.7,0.042,0,1099.258,0
240.8,0.041,0,1098.137,0
240.9,0.043,0,1105.832,0
241,0.056,0,1091.035,0
241.1,0.066,0,1089.448,0
241.2,0.064,0,1098.9,0
241.3,0.061,0,1108.549,0
241.4,0.059,0,1110.87,0
241.5,0.056,0,1107.396,0
241.6,0.055,0,1101.706,0
241.7,0.058,0,1105.752,0
241.8,0.061,0,1109.043,0
241.9,0.058,0,1110.074,0
242,0.056,0,1110.711,0
242.1,0.055,0,1111.614,0
242.2,0.053,0,1107.51,0
242.3,0.052,0,1098.885,0
242.4,0.05,0,1093.691,0
242.5,0.049,0,1095.905,0
242.6,0.047,0,1095.413,0
242.7,0.046,0,1095.442,0
242.8,0.044,0,1107.745,0
242.9,0.047,0,1110.745,0
243,0.056,0,1105.807,0
243.1,0.055,0,1099.351,0
243.2,0.055,0,1097.164,0
243.3,0.069,0,1097.663,0
243.4,0.081,0,1085.836,0
243.5,0.08,0,1082.832,0
243.6,0.079,0,1110.458,0
243.7,0.077,0,1100.247,0
243.8,0.074,0,1090.947,0
243.9,0.07,0,1107.429,0
244,0.068,0,1107.385,0
244.1,0.065,0,1098.869,0
244.2,0.064,0,1099.696,0
244.3,0.061,0,1110.955,0
244.4,0.06,0,1113.303,0
244.5,0.057,0,1099.246,0
244.6,0.055,0,1100.828,0
244.7,0.054,0,1110.642,0
244.8,0.053,0,1105.701,0
244.9,0.052,0,1097.067,0
245,0.056,0,1097.538,0
245.1,0.057,0,1101.772,0
245.2,0.055,0,1096.044,0
245.3,0.053,0,1098.214,0
245.4,0.051,0,1107.486,0
245.5,0.05,0,1107.771,0
245.6,0.048,0,1097.106,0
245.7,0.047,0,1094.255,0
245.8,0.045,0,1092.578,0
245.9,0.044,0,1090.939,0
246,0.043,0,1100.321,0
246.1,0.042,0,1107.411,0
246.2,0.041,0,1105.745,0
246.3,0.04,0,1103.582,0
246.4,0.042,0,1099.235,0
246.5,0.043,0,1094.288,0
246.6,0.042,0,1090.645,0
246.7,0.043,0,1103.453,0
246.8,0.043,0,1114.956,0
246.9,0.043,0,1108.064,0
247,0.042,0,1091.61,0
247.1,0.04,0,1093.311,0
247.2,0.039,0,1104.501,0
247.3,0.039,0,1107.23,0
247.4,0.041,0,1107.553,0
247.5,0.04,0,1105.843,0
247.6,0.039,0,1103.93,0
247.7,0.038,0,1095.445,0
247.8,0.038,0,1099.196,0
247.9,0.047,0,1098.876,0
248,0.053,0,1094.895,0
248.1,0.051,0,1100.311,0
248.2,0.05,0,1101.06,0
248.3,0.048,0,1109.418,0
248.4,0.048,0,1103.434,0
248.5,0.048,0,1094.204,0
248.6,0.048,0,1099.983,0
248.7,0.047,0,1105.823,0
248.8,0.045,0,1094.808,0
248.9,0.044,0,1083.986,0
249,0.043,0,1095.672,0
249.1,0.045,0,1109.39,0
249.2,0.045,0,1107.437,0
249.3,0.045,0,1102.181,0
249.4,0.047,0,1098.888,0
249.5,0.048,0,1101.094,0
249.6,0.046,0,1099.7,0
249.7,0.047,0,1098.839,0
249.8,0.05,0,1100.811,0
249.9,0.052,0,1092.669,0
250,0.052,0,1086.139,0
250.1,0.05,0,1091.024,0
250.2,0.052,0,1102.48,0
250.3,0.054,0,1103.686,0
250.4,0.063,0,1094.16,0
250.5,0.071,0,1094.933,0
250.6,0.069,0,1093.045,0
250.7,0.067,0,1090.214,0
250.8,0.064,0,1102.75,0
250.9,0.062,0,1104.416,0
251,0.059,0,1097.502,0
251.1,0.057,0,1092.587,0
251.2,0.055,0,1094.274,0
251.3,0.053,0,1104.008,0
251.4,0.052,0,1102.342,0
251.5,0.05,0,1097.584,0
251.6,0.05,0,1097.156,0
251.7,0.049,0,1100.325,0
251.8,0.048,0,1104.16,0
251.9,0.047,0,1105.787,0
252,0.052,0,1103.113,0
252.1,0.064,0,1102.301,0
252.2,0.069,0,1097.55,0
252.3,0.067,0,1092.335,0
252.4,0.064,0,1097.107,0
252.5,0.061,0,1104.453,0
252.6,0.059,0,1107.343,0
252.7,0.057,0,1099.663,0
252.8,0.055,0,1102.556,0
252.9,0.053,0,1112.136,0
253,0.051,0,1107.476,0
253.1,0.05,0,1102.338,0
253.2,0.049,0,1103.761,0
253.3,0.047,0,1103.983,0
253.4,0.046,0,1104.108,0
253.5,0.044,0,1097.552,0
253.6,0.043,0,1086.828,0
253.7,0.042,0,1093.728,0
253.8,0.041,0,1111.288,0
253.9,0.041,0,1102.462,0
254,0.041,0,1095.717,0
254.1,0.056,0,1093.51,0
254.2,0.072,0,1095.059,0
254.3,0.069,0,1091.241,0
254.4,0.067,0,1090.283,0
254.5,0.064,0,1093.386,0
254.6,0.062,0,1095.955,0
254.7,0.059,0,1097.651,0
254.8,0.057,0,1094.312,0
254.9,0.055,0,1100.335,0
255,0.053,0,1098.942,0
255.1,0.052,0,1096.756,0
255.2,0.05,0,1089.388,0
255.3,0.049,0,1090.156,0
255.4,0.047,0,1097.186,0
255.5,0.046,0,1095.491,0
255.6,0.047,0,1093.791,0
255.7,0.049,0,1098.166,0
255.8,0.049,0,1098.481,0
255.9,0.057,0,1101.78,0
256,0.065,0,1092.632,0
256.1,0.063,0,1091.261,0
256.2,0.06,0,1109.166,0
256.3,0.058,0,1107.159,0
256.4,0.056,0,1096.807,0
256.5,0.053,0,1098.806,0
256.6,0.052,0,1102.426,0
256.7,0.05,0,1100.323,0
256.8,0.049,0,1097.677,0
256.9,0.047,0,1104.083,0
257,0.046,0,1102.436,0
257.1,0.045,0,1087.567,0
257.2,0.044,0,1089.303,0
257.3,0.043,0,1095.236,0
257.4,0.041,0,1100.597,0
257.5,0.041,0,1102.155,0
257.6,0.041,0,1093.687,0
257.7,0.041,0,1088.486,0
257.8,0.042,0,1084.509,0
257.9,0.044,0,1098.523,0
258,0.045,0,1104.147,0
258.1,0.044,0,1099.605,0
258.2,0.043,0,1093.804,0
258.3,0.041,0,1085.421,0
258.4,0.04,0,1098.45,0
258.5,0.039,0,1097.858,0
258.6,0.038,0,1086.042,0
258.7,0.042,0,1088.571,0
258.8,0.045,0,1094.25,0
258.9,0.044,0,1107.704,0
259,0.044,0,1101.813,0
259.1,0.05,0,1086.847,0
259.2,0.053,0,1087.746,0
259.3,0.051,0,1086.799,0
259.4,0.049,0,1082.085,0
259.5,0.049,0,1073.167,0
259.6,0.049,0,1084.087,0
259.7,0.049,0,1089.498,0
259.8,0.048,0,1082.14,0
259.9,0.046,0,1090.899,0
260,0.044,0,1089.012,0
260.1,0.043,0,1082.226,0
260.2,0.043,0,1080.284,0
260.3,0.043,0,1082.063,0
260.4,0.043,0,1084.316,0
260.5,0.043,0,1079.381,0
260.6,0.044,0,1083.228,0
260.7,0.044,0,1087.594,0
260.8,0.043,0,1077.29,0
260.9,0.042,0,1471.43,0
261,0.041,0.016,1505.644,0.16
261.1,0.04,0.04,1294.66,0.24
261.2,0.039,0.049,1378.621,0.09
261.3,0.038,0.06,1462.602,0.11
261.4,0.038,0.089,1599.612,0.29
261.5,0.038,0.103,1638.717,0.14
261.6,0.049,0.117,1692.586,0.14
261.7,0.057,0.156,1796.234,0.39
261.8,0.056,0.23,2083.694,0.74
261.9,0.054,0.32,2645.325,0.9
262,0.052,0.468,4036.607,1.48
262.1,0.05,0.582,5385.861,1.14
262.2,0.059,0.685,7059.794,1.03
262.3,0.068,0.814,8115.017,1.29
262.4,0.066,1.005,9304.438,1.91
262.5,0.063,1.256,10462.157,2.51
262.6,0.061,1.42,11378.614,1.64
262.7,0.059,1.653,12332.556,2.33
262.8,0.057,1.861,13265.291,2.08
262.9,0.056,2.068,14112.004,2.07
263,0.054,2.291,14805.211,2.23
263.1,0.052,2.446,15352.79,1.55
263.2,0.05,2.684,16404.985,2.38
263.3,0.049,2.821,17026.118,1.37
263.4,0.049,2.988,17804.605,1.67
263.5,0.051,3.154,18327.552,1.66
263.6,0.05,3.303,18713.683,1.49
263.7,0.052,3.477,19225.941,1.74
263.8,0.055,3.725,19729.386,2.48
263.9,0.053,3.907,20060.572,1.82
264,0.051,4.122,20541.943,2.15
264.1,0.049,4.328,20688.517,2.06
264.2,0.048,4.466,20625.576,1.38
264.3,0.046,4.621,20543.649,1.55
264.4,0.045,4.776,20554.756,1.55
264.5,0.044,4.909,20647.209,1.33
264.6,0.042,5.068,20574.767,1.59
264.7,0.041,5.213,20334.552,1.45
264.8,0.041,5.34,20036.014,1.27
264.9,0.049,5.472,19615.345,1.32
265,0.055,5.586,19253.68,1.14
265.1,0.053,5.732,18547.649,1.46
265.2,0.052,5.812,18192.184,0.8
265.3,0.051,5.911,17840.203,0.99
265.4,0.05,6.01,17603.053,0.99
265.5,0.049,6.09,17460.23,0.8
265.6,0.047,6.229,17743.708,1.39
265.7,0.045,6.332,18193.196,1.03
265.8,0.044,6.457,18635.523,1.25
265.9,0.043,6.551,18687.807,0.94
266,0.043,6.638,18567.523,0.87
266.1,0.043,6.74,18243.738,1.02
266.2,0.042,6.84,17888.071,1
266.3,0.042,6.934,17552.456,0.94
266.4,0.044,7.046,17062.371,1.12
266.5,0.046,7.123,16755.192,0.77
266.6,0.045,7.206,16625.068,0.83
266.7,0.047,7.3,16928.053,0.94
266.8,0.047,7.373,17587.341,0.73
266.9,0.046,7.467,19091.494,0.94
267,0.051,7.539,20512.671,0.72
267.1,0.057,7.626,21554.414,0.87
267.2,0.055,7.726,22077.202,1
267.3,0.054,7.812,22283.569,0.86
267.4,0.052,7.969,22520.457,1.57
267.5,0.05,8.069,22668.024,1
267.6,0.048,8.212,22885.622,1.43
267.7,0.046,8.345,23048.759,1.33
267.8,0.045,8.456,23178.922,1.11
267.9,0.044,8.556,23364.882,1
268,0.043,8.645,23549.22,0.89
268.1,0.048,8.738,23609.727,0.93
268.2,0.053,8.846,23486.17,1.08
268.3,0.051,8.961,22962.345,1.15
268.4,0.049,9.064,21549.884,1.03
268.5,0.049,9.132,19640.092,0.68
268.6,0.057,9.214,16523.716,0.82
268.7,0.06,9.283,14394.48,0.69
268.8,0.058,9.343,13522.471,0.6
268.9,0.056,9.398,13294.233,0.55
269,0.063,9.424,13087.354,0.26
269.1,0.074,9.459,13187.205,0.35
269.2,0.072,9.5,13752.233,0.41
269.3,0.069,9.552,14666.968,0.52
269.4,0.066,9.633,15736.406,0.81
269.5,0.063,9.702,16348.669,0.69
269.6,0.06,9.772,17504.456,0.7
269.7,0.058,9.83,18676.995,0.58
269.8,0.057,9.886,19667.613,0.56
269.9,0.057,9.958,20963.41,0.72
270,0.056,10.029,22035.184,0.71
270.1,0.053,10.128,23584.083,0.99
270.2,0.052,10.205,24470.224,0.77
270.3,0.05,10.314,25863.671,1.09
270.4,0.049,10.405,27264.54,0.91
270.5,0.047,10.512,28247.167,1.07
270.6,0.046,10.594,28747.881,0.82
270.7,0.058,10.673,29187.086,0.79
270.8,0.067,10.766,29662.933,0.93
270.9,0.065,10.866,30441.925,1
271,0.062,10.979,31451.816,1.13
271.1,0.06,11.102,31932.446,1.23
271.2,0.057,11.235,32581.888,1.33
271.3,0.055,11.346,33491.793,1.11
271.4,0.053,11.479,34856.099,1.33
271.5,0.052,11.568,35825.487,0.89
271.6,0.05,11.679,36977.76,1.11
271.7,0.049,11.818,38183.893,1.39
271.8,0.048,11.925,38582.042,1.07
271.9,0.046,12.094,38216.578,1.69
272,0.045,12.19,37831.219,0.96
272.1,0.043,12.328,38068.972,1.38
272.2,0.042,12.438,38791.736,1.1
272.3,0.041,12.556,38882.581,1.18
272.4,0.04,12.667,38352.769,1.11
272.5,0.042,12.74,38082.136,0.73
272.6,0.06,12.844,37919.844,1.04
272.7,0.071,12.957,37914.649,1.13
272.8,0.068,13.068,37741.622,1.11
272.9,0.065,13.213,37933.131,1.45
273,0.063,13.325,37880.892,1.12
273.1,0.06,13.457,37779.254,1.32
273.2,0.058,13.59,38122.426,1.33
273.3,0.056,13.69,38171.55,1
273.4,0.054,13.812,37557.332,1.22
273.5,0.053,13.91,36852.725,0.98
273.6,0.051,14.001,36482.726,0.91
273.7,0.049,14.121,36188.334,1.2
273.8,0.048,14.191,35971.452,0.7
273.9,0.046,14.312,36020.405,1.21
274,0.045,14.393,36456.9,0.81
274.1,0.044,14.492,37677.426,0.99
274.2,0.043,14.592,38784.181,1
274.3,0.042,14.69,39209.111,0.98
274.4,0.041,14.788,39116.871,0.98
274.5,0.04,14.858,39003.382,0.7
274.6,0.04,14.965,39144.726,1.07
274.7,0.044,15.04,39294.824,0.75
274.8,0.049,15.134,38896.986,0.94
274.9,0.048,15.238,37757.012,1.04
275,0.047,15.344,36379.846,1.06
275.1,0.046,15.439,34888.016,0.95
275.2,0.044,15.534,33074.944,0.95
275.3,0.043,15.614,31834.788,0.8
275.4,0.042,15.68,31149.584,0.66
275.5,0.041,15.758,30533.312,0.78
275.6,0.041,15.819,29477.045,0.61
275.7,0.042,15.884,28395.784,0.65
275.8,0.047,15.947,27573.792,0.63
275.9,0.049,16.001,26083.386,0.54
276,0.048,16.067,23842.013,0.66
276.1,0.046,16.114,22018.362,0.47
276.2,0.045,16.156,20075.882,0.42
276.3,0.044,16.193,18790.99,0.37
276.4,0.043,16.222,18070.629,0.29
276.5,0.043,16.252,16938.765,0.3
276.6,0.042,16.277,15773.515,0.25
276.7,0.041,16.309,13609.706,0.32
276.8,0.039,16.33,10894.052,0.21
276.9,0.038,16.346,8058.44,0.16
277,0.037,16.356,5023.475,0.1
277.1,0.036,16.356,3745.163,0
277.2,0.043,16.344,3015.474,-0.12
277.3,0.047,16.335,2898.2,-0.09
277.4,0.046,16.327,2954.041,-0.08
277.5,0.049,16.314,3202.159,-0.13
277.6,0.059,16.311,3766.211,-0.03
277.7,0.062,16.302,4378.359,-0.09
277.8,0.06,16.287,4938.393,-0.15
277.9,0.058,16.274,5422.416,-0.13
278,0.056,16.28,5864.208,0.06
278.1,0.055,16.283,6065.524,0.03
278.2,0.065,16.267,6650.055,-0.16
278.3,0.07,16.267,7147.581,0
278.4,0.068,16.267,7562.886,0
278.5,0.065,16.28,7631.839,0.13
278.6,0.063,16.289,7486.685,0.09
278.7,0.06,16.289,7402.667,0
278.8,0.058,16.289,7459.556,0
278.9,0.056,16.301,7543.818,0.12
279,0.054,16.309,7592.762,0.08
279.1,0.052,16.295,7724.783,-0.14
279.2,0.051,16.289,7900.907,-0.06
279.3,0.049,16.301,8046.797,0.12
279.4,0.048,16.311,8110.221,0.1
279.5,0.046,16.311,8110.942,0
279.6,0.045,16.313,8114.784,0.02
279.7,0.044,16.323,8119.316,0.1
279.8,0.042,16.333,8087.763,0.1
279.9,0.042,16.333,8019.177,0
280,0.041,16.339,8008.912,0.06
280.1,0.054,16.348,8019.516,0.09
280.2,0.08,16.356,8057.547,0.08
280.3,0.078,16.356,8139.672,0
280.4,0.075,16.356,8245.602,0
280.5,0.072,16.356,8404.25,0
280.6,0.069,16.356,8534.029,0
280.7,0.065,16.369,8749.789,0.13
280.8,0.063,16.378,8816.589,0.09
280.9,0.061,16.378,8841.348,0
281,0.059,16.389,8806.758,0.11
281.1,0.058,16.398,8789.747,0.09
281.2,0.055,16.4,8791.062,0.02
281.3,0.054,16.4,8770.945,0
281.4,0.052,16.411,8641.567,0.11
281.5,0.051,16.418,8553.277,0.07
281.6,0.049,16.422,8543.552,0.04
281.7,0.048,16.422,8616.565,0
281.8,0.047,16.425,8741.658,0.03
281.9,0.049,16.433,8810.62,0.08
282,0.053,16.444,8931.053,0.11
282.1,0.053,16.444,9016.753,0
282.2,0.05,16.444,9141.694,0
282.3,0.049,16.444,9160.292,0
282.4,0.047,16.453,9167.036,0.09
282.5,0.045,16.467,9125.908,0.14
282.6,0.044,16.467,9074.147,0
282.7,0.043,16.475,9054.453,0.08
282.8,0.043,16.485,9023.48,0.1
282.9,0.044,16.489,8952.994,0.04
283,0.044,16.489,8831.955,0
283.1,0.044,16.498,8690.394,0.09
283.2,0.044,16.511,8444.603,0.13
283.3,0.043,16.515,8186.565,0.04
283.4,0.043,16.524,7898.188,0.09
283.5,0.043,16.524,7761.415,0
283.6,0.042,16.529,7564.937,0.05
283.7,0.041,16.533,7371.266,0.04
283.8,0.04,16.533,7204.275,0
283.9,0.042,16.533,7108.453,0
284,0.048,16.533,7073.678,0
284.1,0.052,16.533,7049.874,0
284.2,0.052,16.524,7066.506,-0.09
284.3,0.054,16.511,7128.849,-0.13
284.4,0.055,16.521,7002.846,0.1
284.5,0.052,16.527,6795.69,0.06
284.6,0.05,16.52,6698.618,-0.07
284.7,0.048,16.513,6682,-0.07
284.8,0.047,16.522,6387.973,0.09
284.9,0.046,16.533,6055.576,0.11
285,0.046,16.533,5964.423,0
285.1,0.047,16.522,6212.093,-0.11
285.2,0.047,16.513,6397.295,-0.09
285.3,0.046,16.511,6520.615,-0.02
285.4,0.044,16.511,6527.832,0
285.5,0.043,16.511,6350.8,0
285.6,0.042,16.511,4950.84,0
285.7,0.045,16.509,3198.959,-0.02
285.8,0.057,16.497,1449.277,-0.12
285.9,0.065,16.469,549.088,-0.28
286,0.063,16.422,-3005.58,-0.47
286.1,0.061,16.373,-5856.114,-0.49
286.2,0.058,16.272,-9473.743,-1.01
286.3,0.057,16.225,-11228.71,-0.47
286.4,0.054,16.118,-14358.358,-1.07
286.5,0.053,16.066,-16126.486,-0.52
286.6,0.051,15.969,-18655.639,-0.97
286.7,0.049,15.906,-20376.38,-0.63
286.8,0.047,15.786,-22888.675,-1.2
286.9,0.046,15.706,-24435.71,-0.8
287,0.046,15.591,-26801.824,-1.15
287.1,0.046,15.503,-25978.357,-0.88
287.2,0.045,15.407,-17206.4,-0.96
287.3,0.043,15.338,-7731.406,-0.69
287.4,0.043,15.305,-2865.274,-0.33
287.5,0.044,15.285,-1468.535,-0.2
287.6,0.048,15.264,-1128.501,-0.21
287.7,0.054,15.251,-1008.544,-0.13
287.8,0.06,15.227,-848.788,-0.24
287.9,0.058,15.195,-746.691,-0.32
288,0.059,15.167,-668.461,-0.28
288.1,0.058,15.17,189.936,0.03
288.2,0.055,15.16,1030.141,-0.1
288.3,0.053,15.121,1645.856,-0.39
288.4,0.051,15.086,1958.172,-0.35
288.5,0.05,15.064,2033.854,-0.22
288.6,0.049,15.035,2050.262,-0.29
288.7,0.048,15.012,2070.174,-0.23
288.8,0.047,15.002,2109.184,-0.1
288.9,0.047,15,2142.003,-0.02
289,0.049,14.996,2139.025,-0.04
289.1,0.054,14.985,2153.415,-0.11
289.2,0.056,14.975,2153.412,-0.1
289.3,0.054,14.963,2115.354,-0.12
289.4,0.052,14.949,2094.032,-0.14
289.5,0.053,14.94,2075.553,-0.09
289.6,0.056,14.933,2084.004,-0.07
289.7,0.055,14.927,2040.479,-0.06
289.8,0.053,14.916,2054.289,-0.11
289.9,0.051,14.911,2743.694,-0.05
290,0.049,14.902,4679.274,-0.09
290.1,0.047,14.889,8720.25,-0.13
290.2,0.046,14.902,13069.163,0.13
290.3,0.045,14.92,14981.236,0.18
290.4,0.044,14.951,16265.952,0.31
290.5,0.043,14.978,16538.9,0.27
290.6,0.042,15.011,16581.073,0.33
290.7,0.045,15.041,16610.01,0.3
290.8,0.047,15.075,16636.323,0.34
290.9,0.045,15.107,16649.36,0.32
291,0.044,15.138,16692.825,0.31
