Time,Accuracy,Speed,BatteryPower,Acceleration,BatteryPower_SG,Speed_SG,Acceleration_SG
2.9,0.052,8.601,29400.979,1.22,30473.4177319347,8.58922610722611,1.14970862470862
3.0,0.051,8.715,33981.148,1.14,33376.3712051282,8.70679020979021,1.20258741258741
3.1,0.05,8.813,37577.786,0.98,36018.1095780886,8.82974358974359,1.27066433566433
3.2,0.066,8.976,39094.875,1.63,38262.6102750583,8.96092307692308,1.39235431235433
3.3,0.073,9.084,39584.564,1.08,39982.2680815851,9.10821445221445,1.56026806526807
3.4,0.07,9.263,40264.457,1.79,40817.7066480186,9.27297668997669,1.70599067599067
3.5,0.067,9.447,40901.815,1.84,41047.434006993,9.44941258741259,1.81624708624707
3.6,0.065,9.631,41286.361,1.84,41165.8305641026,9.63622610722611,1.85423076923076
3.7,0.062,9.831,41193.951,2.0,41305.0356969697,9.82025874125874,1.84568764568765
3.8,0.059,10.026,40796.567,1.95,41275.3155104895,10.0053636363636,1.78607226107226
3.9,0.057,10.171,40567.285,1.45,40621.7274638695,10.1774731934732,1.66540792540792
4.0,0.055,10.345,40280.732,1.74,39411.376962704,10.3384452214452,1.55895104895106
4.1,0.054,10.482,38662.815,1.37,37773.0853543124,10.4892634032634,1.4395571095571
4.2,0.052,10.628,36209.289,1.46,35922.8073566434,10.6263566433566,1.34446386946386
4.3,0.051,10.761,32886.68,1.33,33975.7330909091,10.7581561771562,1.27878787878788
4.4,0.049,10.879,31354.496,1.18,32077.2996293706,10.8821142191142,1.197668997669
4.5,0.047,11.001,30196.862,1.22,30415.1299487179,10.99768997669,1.1219696969697
4.6,0.046,11.101,29463.26,1.0,29176.1468881119,11.1065081585082,1.05772727272727
4.7,0.045,11.218,28547.482,1.17,28317.1296783217,11.2092354312354,0.996678321678316
4.8,0.044,11.294,27780.356,0.76,27675.3539324009,11.3058438228438,0.933053613053615
4.9,0.043,11.403,26922.017,1.09,26975.7874895105,11.3958461538462,0.863694638694649
5.0,0.042,11.474,26188.338,0.71,26269.0044731935,11.4785827505828,0.791421911421904
5.1,0.041,11.567,25605.355,0.93,25551.1043473194,11.5541305361305,0.739941724941708
5.2,0.045,11.627,24920.063,0.6,24857.4715664336,11.6265710955711,0.711748251748254
5.3,0.052,11.693,24360.309,0.66,24194.7793986014,11.6964801864802,0.69120046620048
5.4,0.056,11.76,23568.934,0.67,23614.0551095571,11.7648111888112,0.698729603729599
5.5,0.058,11.825,23003.69,0.65,23137.5736526807,11.8362261072261,0.715839160839152
5.6,0.056,11.916,22546.971,0.91,22799.5768601399,11.907979020979,0.729032634032637
5.7,0.054,11.974,22399.043,0.58,22564.7392960373,11.9820326340326,0.744324009324017
5.8,0.051,12.067,22326.592,0.93,22320.1777016317,12.0568438228438,0.742284382284381
5.9,0.05,12.13,22240.056,0.63,22036.5772494172,12.1304895104895,0.726818181818184
6.0,0.049,12.201,21892.277,0.71,21566.0125804196,12.2022074592075,0.690303030303039
6.1,0.047,12.262,21006.032,0.61,20862.9547599068,12.2685501165501,0.653321678321674
6.2,0.046,12.338,19886.32,0.76,19909.1768741259,12.3328717948718,0.616037296037301
6.3,0.045,12.393,18840.467,0.55,18765.2442657343,12.3917575757576,0.567214452214459
6.4,0.043,12.449,17505.253,0.56,17564.8441701632,12.4463146853147,0.516643356643342
6.5,0.042,12.493,16356.422,0.44,16437.7683030303,12.4950862470862,0.457738927738928
6.6,0.041,12.539,15361.025,0.46,15525.4827505828,12.5378624708625,0.395268065268075
6.7,0.041,12.582,14595.809,0.43,14871.6862284382,12.5741398601399,0.352494172494166
6.8,0.042,12.602,14231.222,0.2,14306.7595431235,12.6083613053613,0.332470862470861
6.9,0.056,12.642,13950.148,0.4,13838.0536736597,12.640634032634,0.315990675990676
7.0,0.064,12.667,13873.468,0.25,13479.2824941725,12.6715594405594,0.305524475524469
7.1,0.062,12.7,13525.314,0.33,13177.2688088578,12.7017389277389,0.303834498834501
7.2,0.06,12.734,12556.22,0.34,12903.0155058275,12.7323263403263,0.310174825174822
7.3,0.057,12.767,12530.893,0.33,12728.3857109557,12.7637738927739,0.307272727272725
7.4,0.055,12.793,12898.475,0.26,12811.7598578089,12.7937808857809,0.309906759906768
7.5,0.053,12.827,12985.499,0.34,13209.6731701632,12.8257552447552,0.314370629370649
7.6,0.051,12.856,13525.883,0.29,13878.7719114219,12.856655011655,0.323205128205117
7.7,0.049,12.887,14656.352,0.31,14704.4826223776,12.8903962703963,0.343624708624688
7.8,0.048,12.926,15914.401,0.39,15483.3803776224,12.92537995338,0.366398601398616
7.9,0.047,12.964,16684.448,0.38,16268.6988648019,12.963675990676,0.39227272727274
8.0,0.046,13.0,16929.887,0.36,17025.2173123543,13.0038344988345,0.409009324009323
8.1,0.044,13.051,17326.473,0.51,17600.7798578089,13.0454778554779,0.425174825174814
8.2,0.044,13.085,17931.744,0.34,18011.3533729604,13.0888694638695,0.431247086247086
8.3,0.043,13.136,18560.373,0.51,18346.6320932401,13.1317272727273,0.443706293706298
8.4,0.043,13.178,18752.292,0.42,18675.1334895105,13.1776107226107,0.461503496503496
8.5,0.043,13.22,18883.461,0.42,18952.2785617716,13.224027972028,0.472995337995334
8.6,0.041,13.272,19218.117,0.52,19191.3674195804,13.2722097902098,0.484592074592085
8.7,0.04,13.316,19421.445,0.44,19399.6828228438,13.3209463869464,0.48639860139861
8.8,0.039,13.376,19546.091,0.6,19645.961993007,13.3694895104895,0.471363636363626
8.9,0.039,13.417,19736.007,0.41,19965.2370979021,13.4152191142191,0.460920745920738
9.0,0.044,13.471,20374.207,0.54,20261.6498228438,13.4616736596737,0.469393939393933
9.1,0.047,13.505,20654.377,0.34,20487.5492890443,13.5090979020979,0.486188811188814
9.2,0.046,13.558,20998.26,0.53,20752.6192494173,13.5589114219114,0.514568764568756
9.3,0.045,13.595,21161.865,0.37,21167.9294195804,13.6120116550117,0.554778554778551
9.4,0.043,13.673,21244.463,0.78,21671.6394848485,13.6698671328671,0.589592074592089
9.5,0.041,13.734,21706.483,0.61,22159.4218624709,13.7299300699301,0.615431235431239
9.6,0.04,13.795,22761.245,0.61,22686.950016317,13.7929533799534,0.625850815850815
9.7,0.039,13.862,23757.989,0.67,23181.7134289044,13.8551002331002,0.628508158508151
9.8,0.038,13.916,23872.192,0.54,23592.8952121212,13.918655011655,0.612249417249414
9.9,0.038,13.976,23773.233,0.6,23842.1013426573,13.9775501165501,0.600734265734275
10.0,0.04,14.035,23947.537,0.59,23962.5262703963,14.0388018648019,0.606037296037292
10.1,0.044,14.099,23978.139,0.64,24007.1642540793,14.0987575757576,0.607645687645688
10.2,0.043,14.164,23988.493,0.65,24202.4908531469,14.160331002331,0.607447552447541
10.3,0.042,14.218,24283.18,0.54,24635.4130932401,14.2202470862471,0.600862470862463
10.4,0.041,14.284,25119.475,0.66,25188.2114475524,14.2805034965035,0.592284382284405
10.5,0.04,14.336,25783.724,0.52,25754.8576107226,14.338703962704,0.566270396270412
10.6,0.039,14.403,26655.663,0.67,26333.5544172494,14.3937575757576,0.56455710955712
10.7,0.041,14.445,26990.309,0.42,26810.2047459207,14.4516153846154,0.589137529137519
10.8,0.053,14.518,27090.623,0.73,27052.6401421911,14.5115850815851,0.621655011655001
10.9,0.053,14.566,27113.223,0.48,27108.2591328671,14.5759463869464,0.662703962703966
11.0,0.052,14.633,27169.219,0.67,27127.512983683,14.6441258741259,0.697400932400927
11.1,0.049,14.722,26928.412,0.89,27086.1929090909,14.7154265734266,0.722331002331001
11.2,0.048,14.788,26754.393,0.66,27031.9832261072,14.7885920745921,0.730104895104896
11.3,0.046,14.872,27113.908,0.84,27004.7145664336,14.8614475524476,0.726258741258739
11.4,0.045,14.932,27324.228,0.6,27019.7893752914,14.9338438228438,0.711608391608405
11.5,0.043,15.005,27037.538,0.73,27107.4562331002,15.0037692307692,0.679790209790208
11.6,0.042,15.063,26911.321,0.58,27246.1473100233,15.0698018648019,0.6533682983683
11.7,0.042,15.14,27250.632,0.77,27314.8686759907,15.1344428904429,0.641410256410261
